0.5,0.406,0.006
0.5,0.5,0.5
0.171,0.198,0.312
0.353,0.235,0.118
0.5,0.322,0.057
0.1,0.22,0.376
0.378,0.056,0.047
0.047,0.224,0.135
0.5,0.5,0.5
0.459,0.1,0.186
0.133,0.447,0.118
0.1,0.22,0.376
0.5,0.5,0.5
0.29,0.273,0.165
0.5,0.5,0.5
0.1,0.1,0.1
0.061,0.008,0.329
0.21,0.084,0.318
0.139,0.347,0.28
0.069,0.227,0.245
0.5,0.5,0.5
0,0,0
0.5,0.5,0
0.5,0.2,0
0,0.251,0
0.488,0.496,0.382
0.324,0.324,0.324
0.093,0.407,0.254
0.488,0.496,0.382
0.296,0.141,0.014
0.073,0.126,0.229
0.5,0.131,0.255
0.5,0.5,0.5
0,0,0
0.384,0.384,0.494
0.476,0.222,0.22
0.47,0.48,0.42
0,0.459,0.371
0.361,0,0
0.5,0.5,0.5
0.406,0.408,0.412
0.406,0.408,0.412
0.422,0.426,0.426
0.271,0.012,0.002
0.331,0.416,0.169
0.427,0.422,0.235
0.427,0.422,0.235
0.427,0.431,0.433
0.427,0.431,0.433
0.282,0.188,0.094
0.2,0.2,0.5
0.088,0.353,0.404
0.5,0.084,0.001
0.498,0.498,0.02
0.096,0.263,0.304
0.5,0.5,0.5
0.471,0.222,0.022
0.1,0.4,0.1
0.427,0.222,0.024
0,0,0
0.1,0.1,0.5
0.5,0.4,0
0.5,0.1,0.3
0.488,0.496,0.382
0.5,0.5,0.5
0.408,0,0
0.341,0.484,0
0.043,0.006,0.233
0.02,0.02,0.02
0.345,0.01,0.01
0,0.157,0
0.5,0.5,0.5
0.473,0.302,0.026
0.465,0.022,0.153
0.2,0.1,0
0.492,0.055,0.229
0.076,0.231,0.333
0.145,0.031,0.19
0.465,0.469,0.469
0.11,0.376,0.024
0.5,0.5,0.433
0.076,0.076,0.076
0.406,0.408,0.412
0.406,0.408,0.412
0.4,0.4,0.4
0.443,0.216,0.071
0.5,0.5,0.5
0.076,0.231,0.333